title,tagline,description,instructions,muscles_targeted,difficulty,tips_and_tricks,max_bodyweight_percentage,min_bodyweight_percentage,min_rep_duration,max_rep_duration,is_body_weight
Kettlebell Halo,The Circular Shoulder Mobilizer,A shoulder mobility and core stability exercise performed in a circular motion around the head.,"1. Stand with feet shoulder-width apart, holding the kettlebell by the horns at chest level. 2. Slowly circle the kettlebell around your head, keeping your elbows close to your body. 3. Complete desired number of rotations in one direction, then reverse the direction for an equal number of rotations.","Shoulders, upper back, and core.",Beginner,"Keep your core engaged and maintain a slow, controlled movement.",10,5,5,7,No
Kettlebell Row,The Unilateral Back Strengthener,A single-arm rowing exercise that targets the upper back and promotes core stability.,"1. Stand in a staggered stance with your left foot forward, holding a kettlebell in your right hand. 2. Hinge at the hips, keeping your back flat, and place your left hand on your left thigh for support. 3. Pull the kettlebell towards your ribs, keeping your elbow close to your body. 4. Lower the kettlebell and repeat for desired reps. Switch sides.","Upper back, biceps, and core.",Intermediate,Keep your back flat and avoid rotating your torso during the movement.,15,5,3,5,No
Kettlebell Single Leg Deadlift,The Balance and Stability Challenge,A unilateral exercise that targets the posterior chain while challenging balance and stability.,"1. Stand with feet hip-width apart, holding a kettlebell in your right hand. 2. Hinge at the hips and lift your left leg behind you, keeping it straight. 3. Lower the kettlebell towards the ground, maintaining a flat back. 4. Drive through your right heel to return to the starting position. Repeat for desired reps. Switch sides.","Glutes, hamstrings, lower back, and core.",Intermediate,"Keep your core engaged and maintain a slow, controlled movement.",20,10,3,5,No
Kettlebell Overhead Press,The Vertical Push Power,A shoulder-strengthening exercise that challenges core stability while pressing the kettlebell overhead.,"1. Stand with feet shoulder-width apart, holding a kettlebell in the racked position (handle resting in the V between your thumb and index finger, elbow tucked in). 2. Brace your core and press the kettlebell overhead, extending your arm fully. 3. Lower the kettlebell back to the racked position. Repeat for desired reps. Switch sides.","Shoulders, triceps, and core.",Intermediate,Keep your core engaged and avoid arching your lower back during the movement.,15,5,3,5,No
Kettlebell Renegade Row,The Plank and Pull Challenge,"A dynamic exercise that combines a plank with a single-arm row, targeting the upper back, core, and shoulder stability.","1. Begin in a high plank position with a kettlebell under each hand. 2. Brace your core and pull the right kettlebell towards your ribs, keeping your elbow close to your body. 3. Lower the kettlebell and repeat on the left side. Continue alternating sides for desired reps.","Upper back, shoulders, core, and biceps.",Advanced,Keep your hips square to the ground and avoid rotating your torso during the movement.,20,10,5,7,No
Kettlebell Figure 8,The Core and Coordination Circuit,A dynamic core exercise that involves passing the kettlebell between the legs in a figure-8 pattern.,"1. Stand with feet shoulder-width apart, holding a kettlebell in your right hand. 2. Hinge at the hips, bending your knees slightly. 3. Pass the kettlebell through your legs to your left hand. 4. Bring the kettlebell around your left leg and pass it back to your right hand. Continue the figure-8 motion for desired reps.","Core, glutes, hamstrings, and grip.",Beginner,Maintain a flat back and keep your chest lifted throughout the movement.,10,5,5,7,No
Kettlebell Sots Press,The Squat and Press Stability Test,"A challenging exercise that combines a deep squat with an overhead press, targeting the entire body.","1. Stand with feet shoulder-width apart, holding a kettlebell in the racked position (handle resting in the V between your thumb and index finger, elbow tucked in). 2. Lower into a deep squat, keeping your chest up. 3. While maintaining the squat, press the kettlebell overhead, extending your arm fully. 4. Lower the kettlebell back to the racked position, then return to standing. Repeat for desired reps. Switch sides.","Legs, core, shoulders, and triceps.",Advanced,"Keep your chest up, core engaged, and maintain a stable squat position during the press.",10,5,3,5,No
Kettlebell Reverse Lunge,The Unilateral Leg Strengthener,"A unilateral leg exercise that targets the quadriceps, glutes, and hamstrings while holding a kettlebell at chest level.","1. Stand with feet hip-width apart, holding the kettlebell by the horns at chest level. 2. Step your right foot back into a reverse lunge, lowering your right knee towards the ground. 3. Push through your left heel to return to standing. Repeat for desired reps. Switch sides.","Legs, glutes, and core.",Intermediate,Keep your chest up and engage your core throughout the movement.,20,10,3,5,No
Kettlebell Swing to Squat,The Total Body Power Combo,A dynamic exercise that combines the kettlebell swing with a squat for a full-body challenge.,"1. Stand with feet shoulder-width apart, kettlebell between your feet. 2. Hinge at the hips, bending knees slightly, and grasp the kettlebell handle with both hands. 3. Drive through your heels, extending hips and knees to swing the kettlebell upwards. 4. At the top of the swing, drop into a squat while holding the kettlebell at chest level. 5. Return to standing and repeat the sequence for desired reps.","Legs, glutes, core, and shoulders.",Advanced,Focus on hip drive during the swing and maintain a stable squat position.,25,10,3,5,No
Kettlebell Clean,"A powerful, full-body exercise that involves moving a kettlebell from the ground to the racked position.","A compound exercise that targets your back, shoulders, and legs.","1. Stand with feet shoulder-width apart, kettlebell between your feet. 2. Hinge at the hips, bending knees slightly, and grasp the kettlebell handle with one hand. 3. Explosively extend hips and knees, pulling the kettlebell upwards, and rotate your hand under the kettlebell. 4. Catch the kettlebell in the racked position. Repeat for desired reps. Switch sides.","Legs, glutes, core, back, and shoulders.",Intermediate,Keep the kettlebell close to your body and focus on hip drive during the lift.,20,10,3,5,No
Kettlebell Snatch,"A high-intensity, full-body exercise that moves a kettlebell from the ground to overhead in one smooth motion.","A full-body exercise that targets your shoulders, back, legs, and core.","1. Stand with feet shoulder-width apart, kettlebell between your feet. 2. Hinge at the hips, bending knees slightly, and grasp the kettlebell handle with one hand. 3. Explosively extend hips and knees, pulling the kettlebell upwards and overhead, extending your arm fully. 4. Lower the kettlebell in a controlled manner to the ground. Repeat for desired reps. Switch sides.","Legs, glutes, core, back, and shoulders.",Advanced,Keep the kettlebell close to your body and focus on hip drive during the lift.,20,10,3,5,No
Kettlebell High Pull,A compound upper body exercise that involves pulling a kettlebell upward while engaging the core.,"A variation of the Kettlebell Swing that targets your back, shoulders, and legs.","1. Stand with feet shoulder-width apart, kettlebell between your feet. 2. Hinge at the hips, bending knees slightly, and grasp the kettlebell handle with one hand. 3. Explosively extend hips and knees, pulling the kettlebell upwards, keeping your elbow high and pointed outwards. 4. Lower the kettlebell in a controlled manner to the ground. Repeat for desired reps. Switch sides.","Legs, glutes, core, back, and shoulders.",Intermediate,Keep the kettlebell close to your body and focus on hip drive during the lift.,15,5,3,5,No
Kettlebell Pistol Squat,The Single-Leg Strengthener,"A challenging lower body exercise that targets the quadriceps, glutes, and hamstrings while balancing on one leg.","1. Hold a kettlebell at chest level with both hands. 2. Stand on one leg with the other leg extended in front of you. 3. Lower into a squat on your standing leg, keeping your other leg extended. 4. Drive through your heel to return to standing. Repeat for desired reps. Switch legs.","Quadriceps, glutes, hamstrings, and core.",Advanced,Maintain a tight core and focus on balance throughout the movement.,20,10,3,5,No
Kettlebell Slingshot,The Orbiting Kettlebell,"A core-engaging exercise that involves passing a kettlebell around your body while maintaining a strong, stable stance.","1. Stand with feet shoulder-width apart, holding a kettlebell with one hand. 2. Pass the kettlebell from one hand to the other, wrapping it around your body at waist level. 3. Continue passing the kettlebell in a circular motion, maintaining a strong core. Switch directions.",Core and grip strength.,Beginner,"Keep your core engaged and maintain a controlled, fluid motion.",10,5,5,7,No
Kettlebell Bottoms-Up Press,The Inverted Stability Test,"A challenging shoulder press variation that focuses on grip strength, shoulder stability, and overall upper body control.","1. Stand with feet shoulder-width apart, holding a kettlebell by the handle with the bottom up. 2. Keep the kettlebell at shoulder level with your elbow close to your body. 3. Press the kettlebell overhead, maintaining the bottoms-up position. 4. Lower the kettlebell back to the starting position. Repeat for desired reps. Switch sides.","Shoulders, upper back, and grip strength.",Advanced,Engage your core and focus on grip and shoulder stability.,10,5,3,5,No
Kettlebell Lateral Lunge,The Side-to-Side Strengthen,"A lower body exercise targeting the glutes, hamstrings, and quads, while promoting hip mobility and balance.","1. Stand with feet shoulder-width apart, holding a kettlebell with both hands at chest level. 2. Step out to one side, keeping the other leg straight. 3. Lower into a lunge, bending the knee of the stepping leg, while keeping the other leg straight. 4. Push back to the starting position. Repeat for desired reps. Switch sides.","Glutes, hamstrings, quads, and core.",Intermediate,Keep your chest up and maintain balance during the movement.,15,10,3,5,No
Kettlebell Thruster,The Full-Body Powerhouse,"A dynamic, full-body exercise combining a front squat and overhead press, targeting the lower and upper body.","1. Stand with feet shoulder-width apart, holding a kettlebell in each hand at shoulder level with palms facing each other. 2. Lower into a front squat, keeping your chest up and elbows high. 3. Drive through your heels to stand up, simultaneously pressing the kettlebells overhead. 4. Lower the kettlebells back to the starting position. Repeat for desired reps.","Legs, glutes, shoulders, and core.",Intermediate,Focus on a smooth transition between the squat and overhead press.,20,10,3,5,No
Kettlebell Deck Squat,Build explosive power and mobility.,"A full-body exercise that targets your legs, core, and shoulders. It also helps to improve your mobility, balance, and coordination.",1. Hold the kettlebell in front of your chest with both hands. 2. Squat down until your buttocks touch the ground. 3. Return to standing by pushing through your heels. 4. Repeat for the desired number of repetitions.,"Legs, Core, Shoulders",Intermediate,"Make sure to keep your chest lifted throughout the exercise. Also, try to keep your feet flat on the ground. If you find it difficult to maintain your balance, you can place your hands on the ground for support.",150,50,3,5,No
Kettlebell Double Clean and Press,Increase strength and endurance.,"This exercise is a combination of two movements: the clean and the press. It targets your shoulders, arms, and core.",1. Hold a kettlebell in each hand at shoulder height. 2. Clean the kettlebells to your shoulders. 3. Press the kettlebells overhead. 4. Lower the kettlebells back to your shoulders. 5. Repeat for the desired number of repetitions.,"Shoulders, Arms, Core",Advanced,"Start with a light weight and focus on your technique before increasing the weight. Also, make sure to keep your elbows close to your body during the press.",150,50,8,12,No
Kettlebell Bent Press,Develop shoulder and core stability.,"This exercise is a combination of a side bend and a press. It targets your shoulders, core, and obliques.",1. Hold a kettlebell in one hand and extend your arm overhead. 2. Bend to the side with the kettlebell. 3. Press the kettlebell overhead. 4. Return to the starting position. 5. Repeat for the desired number of repetitions.,"Shoulders, Core, Obliques",Advanced,"Focus on keeping your arm extended overhead throughout the exercise. Also, make sure to engage your core and obliques to maintain your balance.",150,50,8,12,No
Kettlebell Sumo Deadlift High Pull,Improve explosive power and strength.,"This exercise targets your legs, glutes, and shoulders. It also helps to improve your explosive power and strength.",1. Hold a kettlebell with both hands between your legs. 2. Stand with your feet wider than shoulder-width apart. 3. Squat down and grab the kettlebell with an overhand grip. 4. Stand up and pull the kettlebell to your chest while keeping your elbows high. 5. Lower the kettlebell back to the starting position. 6. Repeat for the desired number of repetitions.,"Legs, Glutes, Shoulders",Intermediate,"Focus on keeping your chest lifted throughout the exercise. Also, be sure to use your legs and hips to generate the power needed to lift the kettlebell.",150,50,8,12,No
Kettlebell Single-Arm Swing,Build core strength and stability.,"This exercise targets your core, back, and shoulders. It also helps to improve your balance and coordination.","1. Stand with your feet shoulder-width apart and hold the kettlebell with one hand. 2. Hinge at the hips and swing the kettlebell back between your legs. 3. Stand up and swing the kettlebell up to shoulder height. 4. Lower the kettlebell back down between your legs. 5. Repeat for the desired number of repetitions, then switch hands.","Core, Back, Shoulders",Intermediate,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to use your hips and legs to generate the power needed to swing the kettlebell.",150,50,8,12,No
Kettlebell Gorilla Row,Increase upper body strength and muscle definition.,"This exercise targets your back, biceps, and shoulders. It also helps to improve your grip strength.","1. Stand with your feet wider than shoulder-width apart and hold the kettlebell with one hand between your legs. 2. Hinge at the hips and lower the kettlebell towards the ground. 3. Pull the kettlebell up to your chest while keeping your elbow close to your body. 4. Lower the kettlebell back down and repeat for the desired number of repetitions, then switch hands.","Back, Biceps, Shoulders",Intermediate,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to use your biceps and shoulders to pull the kettlebell up to your chest.",150,50,8,12,No
Kettlebell Half-Kneeling Press,Improve shoulder and core stability.,"This exercise targets your shoulders, core, and hips. It also helps to improve your balance and stability.","1. Kneel on one knee with the opposite foot flat on the ground. 2. Hold the kettlebell in one hand at shoulder height. 3. Press the kettlebell overhead. 4. Lower the kettlebell back down to the starting position. 5. Repeat for the desired number of repetitions, then switch sides.","Shoulders, Core, Hips",Intermediate,"Focus on keeping your core engaged and your back straight throughout the exercise. Also, be sure to keep your elbow close to your body during the press.",150,50,8,12,No
Kettlebell Farmer's Walk,Increase grip strength and endurance.,"This exercise targets your grip, back, and legs. It also helps to improve your balance and coordination.",1. Hold a kettlebell in each hand at your sides. 2. Walk forward for the desired distance. 3. Lower the kettlebells back to the starting position. 4. Repeat for the desired number of sets or distance.,"Grip, Back, Legs",Beginner,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to take short, quick steps to maintain your balance.",200,50,8,12,No
Kettlebell Side Press,Build shoulder and core strength and stability.,"This exercise targets your shoulders, core, and hips. It also helps to improve your balance and stability.","1. Stand with your feet wider than shoulder-width apart and hold the kettlebell with one hand at shoulder height. 2. Bend to the side with the kettlebell. 3. Press the kettlebell overhead. 4. Lower the kettlebell back down to the starting position. 5. Repeat for the desired number of repetitions, then switch sides.","Shoulders, Core, Hips",Advanced,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to use your hips and legs to generate the power needed to press the kettlebell overhead.",150,50,8,12,No
Kettlebell Seesaw Press,Build shoulder and core strength and stability.,"This exercise targets your shoulders, core, and hips. It also helps to improve your balance and stability.",1. Stand with your feet wider than shoulder-width apart and hold a kettlebell in each hand at shoulder height. 2. Press one kettlebell overhead while lowering the other kettlebell to your shoulder. 3. Lower the first kettlebell back down to your shoulder while pressing the second kettlebell overhead. 4. Continue alternating sides for the desired number of repetitions.,"Shoulders, Core, Hips",Advanced,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to use your hips and legs to generate the power needed to press the kettlebells overhead.",150,50,8,12,No
Kettlebell Bottoms-Up Clean,Increase grip strength and wrist stability.,"This exercise targets your grip, forearms, and shoulders. It also helps to improve your wrist stability and control.","1. Hold the kettlebell upside down by the handle. 2. Swing the kettlebell back between your legs. 3. Clean the kettlebell to your shoulder while keeping the bottom of the kettlebell facing up. 4. Lower the kettlebell back down to the starting position. 5. Repeat for the desired number of repetitions, then switch sides.","Grip, Forearms, Shoulders",Advanced,"Start with a light weight and focus on your technique before increasing the weight. Also, be sure to keep your wrist stable and your elbow close to your body during the clean.",100,50,8,12,No
Kettlebell Alternating Floor Press,Build upper body strength and endurance.,"This exercise targets your chest, shoulders, and triceps. It also helps to improve your balance and stability.",1. Lie on your back with a kettlebell in one hand at your chest. 2. Press the kettlebell up towards the ceiling. 3. Lower the kettlebell back down to your chest. 4. Repeat with the other hand. 5. Continue alternating sides for the desired number of repetitions.,"Chest, Shoulders, Triceps",Beginner,"Focus on keeping your core engaged and your back flat on the ground throughout the exercise. Also, be sure to use your chest and shoulders to press the kettlebell up towards the ceiling.",20,50,8,12,No
Kettlebell Single-Leg Romanian Deadlift,Improve balance and stability.,"This exercise targets your hamstrings, glutes, and core. It also helps to improve your balance and stability.","1. Hold the kettlebell in one hand at your side. 2. Stand on one leg with your other foot slightly behind you. 3. Hinge at the hips and lower the kettlebell towards the ground while lifting your other leg behind you. 4. Stand back up to the starting position. 5. Repeat for the desired number of repetitions, then switch sides.","Hamstrings, Glutes, Core",Intermediate,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to keep your knee in line with your toes and your foot flexed during the lift.",75,25,2,4,No
Kettlebell Z-Press,Improve shoulder and core stability.,"This exercise targets your shoulders, core, and triceps. It also helps to improve your balance and stability.",1. Sit on the ground with your legs straight and your back straight. 2. Hold the kettlebell with both hands at shoulder height with your palms facing in. 3. Press the kettlebell overhead. 4. Lower the kettlebell back down to your shoulders. 5. Repeat for the desired number of repetitions.,"Shoulders, Core, Triceps",Intermediate,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to keep your elbows close to your body during the press.",75,25,2,4,No
Kettlebell Alternating Hang Clean,Build explosive power and strength in your legs.,"This exercise targets your legs, glutes, and shoulders. It also helps to improve your explosive power and strength.","1. Hold a kettlebell in each hand with your palms facing your body. 2. Hinge at the hips and lower the kettlebells towards the ground. 3. Stand up and pull the kettlebells towards your shoulders while keeping your elbows high. 4. Lower the kettlebells back down to the starting position. 5. Repeat for the desired number of repetitions, alternating hands each time.","Legs, Glutes, Shoulders",Intermediate,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to use your legs and hips to generate the power needed to lift the kettlebells.",75,25,2,4,No
Kettlebell Cossack Squat,Improve hip and ankle mobility.,"This exercise targets your quads, hamstrings, and glutes. It also helps to improve your hip and ankle mobility.","1. Stand with your feet wider than shoulder-width apart, with your toes pointed slightly outwards. 2. Hold a kettlebell with both hands in front of your chest. 3. Shift your weight to one side and lower into a squat, keeping your other leg straight. 4. Stand back up and repeat on the other side. 5. Repeat for the desired number of repetitions.","Quads, Hamstrings, Glutes",Intermediate,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to keep your knees in line with your toes during the squat.",75,25,2,4,No
Kettlebell Double Front Squat,Build leg strength and endurance. Improve squat mechanics.,"This exercise targets your quads, glutes, and hamstrings. It also helps to improve your squat mechanics and leg strength and endurance.","1. Hold a kettlebell in each hand in front of your shoulders with your elbows pointing down. 2. Squat down as low as you can, keeping your back straight and your core engaged. 3. Stand back up to the starting position. 4. Repeat for the desired number of repetitions.","Quads, Glutes, Hamstrings",Intermediate,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to keep your knees in line with your toes during the squat.",75,25,2,4,No
Kettlebell Single-Arm Overhead Lunge,Improve lower body and core strength and stability.,"This exercise targets your quads, hamstrings, glutes, and core. It also helps to improve your lower body and core strength and stability.","1. Hold a kettlebell in one hand overhead with your arm straight. 2. Lunge forward with your opposite leg, bending both knees to 90 degrees. 3. Stand back up to the starting position. 4. Repeat for the desired number of repetitions, then switch sides.","Quads, Hamstrings, Glutes, Core",Intermediate,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to keep your knee in line with your toes and your foot flexed during the lunge.",75,25,2,4,No
Kettlebell Hammer Curl,Build bicep and forearm strength.,This exercise targets your biceps and forearms. It also helps to improve your bicep and forearm strength.,"1. Hold a kettlebell in each hand with your palms facing in. 2. Curl the kettlebells towards your shoulders, keeping your elbows close to your body. 3. Lower the kettlebells back down to the starting position. 4. Repeat for the desired number of repetitions.","Biceps, Forearms",Beginner,"Focus on keeping your elbow close to your body during the curl. Also, be sure to use a weight that allows you to complete the exercise with good form.",75,25,1,2,No
Kettlebell Lying Triceps Extension,Build tricep strength and size. Improve elbow and shoulder health.,"This exercise targets your triceps. It also helps to improve your tricep strength and size, as well as your elbow and shoulder health.","1. Lie on your back with your knees bent and your feet flat on the ground. 2. Hold a kettlebell with both hands above your chest. 3. Lower the kettlebell towards your forehead, keeping your elbows close to your head. 4. Press the kettlebell back up to the starting position. 5. Repeat for the desired number of repetitions.",Triceps,Intermediate,"Focus on keeping your elbows close to your head throughout the exercise. Also, be sure to use a weight that allows you to complete the exercise with good form.",75,25,2,4,No
Kettlebell Alternating Push Press,Improve shoulder and core strength.,"This exercise targets your shoulders, core, and triceps. It also helps to improve your shoulder and core strength.","1. Hold a kettlebell in each hand in the racked position with your elbows close to your body and your palms facing in. 2. Dip down into a quarter squat, then explosively stand up and press the kettlebells overhead. 3. Lower the kettlebells back down to the racked position. 4. Repeat with the other arm. 5. Alternate arms for the desired number of repetitions.","Shoulders, Core, Triceps",Intermediate,"Focus on keeping your core engaged throughout the exercise. Also, be sure to use a weight that allows you to complete the exercise with good form.",75,25,2,4,No
Kettlebell Diagonal Lift,Improve rotational strength and stability.,"This exercise targets your core, shoulders, and hips. It also helps to improve your rotational strength and stability.","1. Stand with your feet shoulder-width apart and hold a kettlebell with both hands in front of your right hip. 2. Keeping your arms straight, lift the kettlebell up and across your body to the left, ending with the kettlebell above your left shoulder. 3. Lower the kettlebell back down to the starting position. 4. Repeat for the desired number of repetitions, then switch sides.","Core, Shoulders, Hips",Intermediate,"Focus on keeping your back straight and your core engaged throughout the exercise. Also, be sure to use a weight that allows you to complete the exercise with good form.",75,25,2,4,No
Kettlebell Crush Curl,Build bicep and forearm strength. Improve grip strength and endurance.,"This exercise targets your biceps, forearms, and grip. It also helps to improve your bicep and forearm strength, as well as your grip strength and endurance.","1. Hold a kettlebell in each hand with your palms facing up and your arms extended in front of your body. 2. Curl the kettlebells towards your shoulders, squeezing them together at the top of the movement. 3. Lower the kettlebells back down to the starting position. 4. Repeat for the desired number of repetitions.","Biceps, Forearms, Grip",Beginner,"Focus on keeping your elbow close to your body during the curl. Also, be sure to use a weight that allows you to complete the exercise with good form.",75,25,1,2,No
Kettlebell Single-Leg Squat to Press,Improve leg and shoulder strength and stability.,"This exercise targets your quads, glutes, core, and shoulders. It also helps to improve your leg and shoulder strength and stability.","1. Hold a kettlebell in one hand in the racked position with your elbow close to your body and your palm facing in. 2. Balance on one leg and squat down, keeping your knee in line with your toes. 3. Stand back up and press the kettlebell overhead. 4. Lower the kettlebell back down to the racked position. 5. Repeat for the desired number of repetitions, then switch sides.","Quads, Glutes, Core, Shoulders",Advanced,"Focus on keeping your knee in line with your toes during the squat. Also, be sure to use a weight that allows you to complete the exercise with good form.",75,25,2,4,No
Kettlebell Upright Row,Build upper back and shoulder strength.,This exercise targets your upper back and shoulders. It also helps to improve your upper back and shoulder strength.,"1. Hold a kettlebell in each hand in front of your thighs with your palms facing your body. 2. Keeping your elbows higher than your wrists, pull the kettlebells up towards your chin. 3. Lower the kettlebells back down to the starting position. 4. Repeat for the desired number of repetitions.","Upper Back, Shoulders",Intermediate,"Focus on keeping your elbows higher than your wrists throughout the exercise. Also, be sure to use a weight that allows you to complete the exercise with good form.",75,25,2,4,No
Kettlebell Single-Arm Bent Over Row,"The Lawn Mower, Unilateral Strength and Stability","The Kettlebell Single-Arm Bent Over Row is an effective compound exercise that targets the back, shoulders, and biceps while also promoting stability and balance.","1. Stand with feet hip-width apart, holding a kettlebell in one hand. 2. Bend at the hips and knees, keeping your back straight, and lower your torso until it's almost parallel to the floor. 3. Let the kettlebell hang at arm's length, palm facing your body. 4. Pull the kettlebell up to your ribcage, keeping your elbow close to your body. 5. Lower the kettlebell back down to the starting position. 6. Complete the desired number of reps and then switch arms.","Back, Shoulders, Biceps, Core",Intermediate,1. Maintain a neutral spine throughout the movement. 2. Avoid rounding your shoulders or back. 3. Focus on squeezing your shoulder blades together at the top of the movement. 4. Keep your core engaged to maintain stability. 5. Make sure not to jerk the weight up or use momentum to complete the movement.,50,25,3,5,No
